magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,dmin:Year,dmin:cdi,Year:cdi
6.6,7.0,4,688,431.78896882494007,3.259,15.0,12.0,23.5414,126.48,2021,11,1,6586.438999999999,22.813,14147.0
6.9,8.0,6,995,431.78896882494007,-999.0,58.55258064516131,51.6,56.2581,-156.492,2021,10,1,-2018979.0,-7992.0,16168.0
6.9,4.0,3,740,431.78896882494007,4.778,31.0,535.0,-21.1704,174.54,2021,10,1,9656.338,19.112,8084.0
7.3,4.0,4,826,431.78896882494007,4.493,32.0,527.0,-21.1036,174.895,2021,10,1,9080.353000000001,17.972,8084.0
6.5,7.0,5,684,431.78896882494007,0.993,114.0,21.0,12.1598,-87.8542,2021,9,1,2006.853,6.951,14147.0
7.0,8.0,8,2504,431.78896882494007,0.07,43.0,20.0,16.9502,-99.7877,2021,9,1,141.47000000000003,0.56,16168.0
7.1,1.0,4,776,431.78896882494007,9.799,32.0,6.0,-60.3026,-24.9992,2021,8,1,19803.779,9.799,2021.0
6.6,1.0,3,670,431.78896882494007,8.865,19.0,7.0,-60.1023,-24.4608,2021,8,1,17916.165,8.865,2021.0
6.9,8.0,7,741,431.78896882494007,0.579,54.0,93.0,-14.892,167.085,2021,8,1,1170.1589999999999,4.632,16168.0
6.9,6.0,4,734,431.78896882494007,8.363,48.0,16.7,-58.3814,-23.3318,2021,8,1,16901.623,50.178,12126.0
7.2,9.0,8,2331,431.78896882494007,1.178,23.0,10.0,18.3521,-73.4804,2021,8,1,2380.738,10.602,18189.0
6.9,5.0,4,738,431.78896882494007,-999.0,58.55258064516131,33.3,55.2364,-157.707,2021,8,1,-2018979.0,-4995.0,10105.0
6.9,5.0,4,738,431.78896882494007,1.173,36.0,20.74,55.2657,-157.68,2021,8,1,2370.6330000000003,5.865,10105.0
8.1,-999.0,7,1009,431.78896882494007,7.463,78.0,22.79,-58.4157,-25.3206,2021,8,0,15082.723,-7455.537,-2018979.0
7.5,9.0,6,868,431.78896882494007,7.227,38.0,47.23,-57.5959,-25.1874,2021,8,1,14605.767,65.043,18189.0
7.1,9.0,7,846,431.78896882494007,1.273,25.0,55.14,6.4547,126.742,2021,8,1,2572.7329999999997,11.456999999999999,18189.0
8.2,8.0,6,1237,431.78896882494007,0.875,66.0,46.66,55.4742,-157.917,2021,7,1,1768.375,7.0,16168.0
8.2,8.0,7,1252,431.78896882494007,-999.0,58.55258064516131,35.0,55.3154,-157.829,2021,7,1,-2018979.0,-7992.0,16168.0
6.7,8.0,5,935,431.78896882494007,8.139,12.0,110.0,13.6989,120.713,2021,7,1,16448.918999999998,65.112,16168.0
6.7,6.0,6,830,431.78896882494007,1.395,61.0,10.0,7.5904,-82.8813,2021,7,1,2819.295,8.370000000000001,12126.0
6.5,-999.0,4,650,431.78896882494007,7.994,24.0,25.0,-30.2144,-177.773,2021,6,1,16155.874,-7986.005999999999,-2018979.0
6.5,5.0,7,652,431.78896882494007,4.518,44.0,10.0,-16.4796,-177.356,2021,5,1,9130.877999999999,22.59,10105.0
7.3,9.0,9,1025,431.78896882494007,4.655,9.0,10.0,34.5861,98.2551,2021,5,0,9407.755000000001,41.895,18189.0
6.7,8.0,4,698,431.78896882494007,1.487,37.0,11.0,0.1684,96.6475,2021,5,0,3005.2270000000003,11.896,16168.0
6.7,9.0,3,694,431.78896882494007,10.669,45.0,10.0,-17.2495,66.3745,2021,5,0,21562.049000000003,96.021,18189.0
6.9,7.0,6,919,431.78896882494007,2.619,35.0,43.0,38.2296,141.665,2021,5,1,5292.999000000001,18.333000000000002,14147.0
6.5,4.0,4,651,431.78896882494007,5.931,20.0,246.0,-21.6857,-177.064,2021,4,0,11986.551,23.724,8084.0
