magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,Year:nst,Year:sig,Year:magnitude,nst:sig,nst:magnitude,sig:magnitude
6.7,5,5,693,269,0.0,13.8,64.0,-5.157,153.782,2009,6,0,540421,1392237,13460.300000000001,186417,1802.3,4643.1
7.3,7,8,1560,464,0.0,27.2,19.0,16.731,-86.217,2009,5,0,932176,3134040,14665.699999999999,723840,3387.2,11388.0
7.6,7,5,916,504,0.0,14.0,31.0,-23.043,-174.66,2009,3,0,1012536,1840244,15268.4,461664,3830.3999999999996,6961.599999999999
7.2,3,7,802,432,0.0,18.6,20.0,3.886,126.387,2009,2,0,867888,1611218,14464.800000000001,346464,3110.4,5774.400000000001
7.4,7,7,846,314,0.0,21.1,23.0,-0.691,133.305,2009,1,0,630826,1699614,14866.6,265644,2323.6,6260.400000000001
6.6,5,4,765,344,0.0,22.6,204.8,36.419,70.743,2009,1,0,691096,1536885,13259.4,263160,2270.4,5049.0
7.7,5,7,918,288,0.0,29.8,17.0,-0.414,132.885,2009,1,0,578592,1844262,15469.300000000001,264384,2217.6,7068.6
7.4,9,7,848,365,0.0,33.7,30.0,1.271,122.091,2008,11,0,732920,1702784,14859.2,309520,2701.0,6275.200000000001
6.7,5,6,731,481,0.0,28.6,24.0,14.423,-92.364,2008,10,0,965848,1467848,13453.6,351611,3222.7000000000003,4897.7
6.7,0,6,691,529,0.0,22.3,27.4,39.533,73.824,2008,10,0,1062232,1387528,13453.6,365539,3544.3,4629.7
6.8,0,6,711,500,0.0,22.2,25.0,41.892,143.754,2008,9,0,1004000,1427688,13654.4,355500,3400.0,4834.8
6.6,0,6,670,463,0.0,14.1,96.0,1.885,127.363,2008,9,0,929704,1345360,13252.8,310210,3055.7999999999997,4422.0
6.9,0,6,732,531,0.0,14.9,110.0,-13.501,166.967,2008,9,0,1066248,1469856,13855.2,388692,3663.9,5050.8
6.7,4,7,692,325,0.0,28.0,12.0,30.901,83.52,2008,8,0,652600,1389536,13453.6,224900,2177.5,4636.400000000001
6.8,8,7,1046,633,0.0,20.2,108.0,39.802,141.464,2008,7,0,1271064,2100368,13654.4,662118,4304.4,7112.8
7.0,5,5,840,577,0.0,18.2,22.0,37.552,142.214,2008,7,0,1158616,1686720,14056.0,484680,4039.0,5880.0
6.9,5,5,825,0,0.0,0.0,25.5,37.55,142.714,2008,7,0,0,1656600,13855.2,0,0.0,5692.5
6.6,4,5,680,630,0.0,18.4,17.0,11.005,91.824,2008,6,0,1265040,1365440,13252.8,428400,4158.0,4488.0
6.9,7,8,888,654,0.0,17.1,7.8,39.03,140.881,2008,6,0,1313232,1783104,13855.2,580752,4512.6,6127.200000000001
7.9,9,9,1870,774,0.0,11.3,19.0,31.002,103.322,2008,5,0,1554192,3754960,15863.2,1447380,6114.6,14773.0
6.9,5,5,910,519,0.0,21.1,27.0,36.164,141.526,2008,5,0,1042152,1827280,13855.2,472290,3581.1000000000004,6279.0
7.3,0,6,820,486,0.0,13.4,33.0,-20.071,168.892,2008,4,0,975888,1646560,14658.4,398520,3547.7999999999997,5986.0
7.2,0,7,798,532,0.0,25.9,10.0,35.49,81.467,2008,3,0,1068256,1602384,14457.6,424536,3830.4,5745.6
6.9,4,5,740,544,0.0,25.9,24.0,13.351,125.63,2008,3,0,1092352,1485920,13855.2,402560,3753.6000000000004,5106.0
6.7,5,6,696,543,0.0,15.1,25.0,-2.245,99.808,2008,2,0,1090344,1397568,13453.6,377928,3638.1,4663.2
6.6,4,6,674,421,0.0,17.7,25.0,-2.332,99.891,2008,2,0,845368,1353392,13252.8,283754,2778.6,4448.4
7.2,4,7,832,505,0.0,18.4,25.0,-2.486,99.972,2008,2,0,1014040,1670656,14457.6,420160,3636.0,5990.400000000001
6.5,4,6,654,429,0.0,28.3,22.0,-2.405,99.931,2008,2,0,861432,1313232,13052.0,280566,2788.5,4251.0
7.4,5,7,914,607,0.0,16.4,26.0,2.768,95.964,2008,2,0,1218856,1835312,14859.2,554798,4491.8,6763.6
6.5,8,5,692,650,0.0,30.7,28.0,36.345,21.863,2008,2,0,1305200,1389536,13052.0,449800,4225.0,4498.0
6.9,6,6,941,645,0.0,30.6,29.0,36.501,21.67,2008,2,0,1295160,1889528,13855.2,606945,4450.5,6492.900000000001
6.5,7,6,723,521,0.0,27.6,83.0,16.357,-94.304,2008,2,0,1046168,1451784,13052.0,376683,3386.5,4699.5
6.6,7,6,808,461,0.0,18.8,20.0,-39.011,178.291,2007,12,0,925227,1621656,13246.199999999999,372488,3042.6,5332.799999999999
6.7,5,7,704,481,0.0,30.3,45.0,-22.954,-70.182,2007,12,0,965367,1412928,13446.9,338624,3222.7000000000003,4716.8
7.4,7,7,1542,663,0.0,13.4,156.0,14.944,-61.274,2007,11,0,1330641,3094794,14851.800000000001,1022346,4906.2,11410.800000000001
6.6,3,6,672,280,0.0,26.9,16.0,-10.95,162.149,2007,11,0,561960,1348704,13246.199999999999,188160,1848.0,4435.2
6.5,5,7,653,272,0.0,27.6,18.0,-8.224,118.467,2007,11,0,545904,1310571,13045.5,177616,1768.0,4244.5
6.5,7,7,657,353,0.0,27.5,20.0,-8.292,118.37,2007,11,0,708471,1318599,13045.5,231921,2294.5,4270.5
6.8,6,6,722,341,0.0,15.9,53.0,-5.757,147.098,2007,11,0,684387,1449054,13647.6,246202,2318.7999999999997,4909.599999999999
6.8,7,6,790,649,0.0,27.0,122.9,-2.312,-77.838,2007,11,0,1302543,1585530,13647.6,512710,4413.2,5372.0
6.8,6,7,716,285,0.0,40.1,26.0,-22.925,-70.237,2007,11,0,571995,1437012,13647.6,204060,1938.0,4868.8
7.7,8,7,995,610,0.0,22.4,40.0,-22.247,-69.89,2007,11,0,1224270,1996965,15453.9,606950,4697.0,7661.5
6.8,3,5,713,494,0.0,23.9,21.0,-3.899,101.02,2007,10,0,991458,1430991,13647.6,352222,3359.2,4848.4
6.8,4,7,744,338,0.0,19.0,18.0,-44.796,167.553,2007,10,0,678366,1493208,13647.6,251472,2298.4,5059.2
6.8,4,5,713,348,0.0,15.5,40.0,-4.99,153.5,2007,9,0,698436,1430991,13647.6,248124,2366.4,4848.4
6.7,3,5,696,503,0.0,26.9,30.0,-1.999,100.141,2007,9,0,1009521,1396872,13446.9,350088,3370.1,4663.2
7.0,4,7,768,537,0.0,23.1,22.0,-2.13,99.627,2007,9,0,1077759,1541376,14049.0,412416,3759.0,5376.0
6.5,0,5,650,409,0.0,26.2,28.9,-1.689,99.668,2007,9,0,820863,1304550,13045.5,265850,2658.5,4225.0
7.9,8,7,1133,446,0.0,29.1,35.0,-2.625,100.841,2007,9,0,895122,2273931,15855.300000000001,505318,3523.4,8950.7
7.8,7,8,1152,0,0.0,0.0,40.5,-2.52,100.139,2007,9,0,0,2312064,15654.6,0,0.0,8985.6
8.4,0,6,1086,411,0.0,32.3,34.0,-4.438,101.367,2007,9,0,824877,2179602,16858.8,446346,3452.4,9122.4
6.8,5,6,747,653,0.0,17.6,15.0,2.966,-77.963,2007,9,0,1310571,1499229,13647.6,487791,4440.4,5079.599999999999
7.2,0,5,798,312,0.0,21.3,35.0,-11.61,165.762,2007,9,0,626184,1601586,14450.4,248976,2246.4,5745.6
6.5,5,6,675,382,0.0,12.8,15.0,-9.834,159.465,2007,8,0,766674,1354725,13045.5,257850,2483.0,4387.5
8.0,9,8,1385,625,0.0,25.7,39.0,-13.386,-76.603,2007,8,0,1254375,2779695,16056.0,865625,5000.0,11080.0
7.5,0,5,865,228,0.0,30.7,280.0,-5.859,107.419,2007,8,0,457596,1736055,15052.5,197220,1710.0,6487.5
7.2,7,7,803,494,0.0,20.4,120.0,-15.595,167.68,2007,8,0,991458,1611621,14450.4,396682,3556.8,5781.6
6.9,3,5,734,374,0.0,24.1,25.0,2.872,127.464,2007,7,0,750618,1473138,13848.300000000001,274516,2580.6,5064.6
6.8,5,4,779,664,0.0,18.2,350.4,36.808,134.85,2007,7,0,1332648,1563453,13647.6,517256,4515.2,5297.2
6.6,8,8,831,782,0.0,16.7,12.0,37.535,138.446,2007,7,0,1569474,1667817,13246.199999999999,649842,5161.2,5484.599999999999
6.7,6,6,972,468,0.0,37.7,23.0,13.554,-90.618,2007,6,0,939276,1950804,13446.9,454896,3135.6,6512.400000000001
6.9,0,7,732,305,0.0,15.3,10.0,-7.306,155.741,2007,4,0,612135,1469124,13848.300000000001,223260,2104.5,5050.8
6.6,0,7,670,251,0.0,16.0,10.0,-7.169,155.777,2007,4,0,503757,1344690,13246.199999999999,168170,1656.6,4422.0
8.1,9,8,1025,439,0.0,14.7,24.0,-8.466,157.043,2007,4,0,881073,2057175,16256.699999999999,449975,3555.8999999999996,8302.5
6.7,7,8,782,493,0.0,23.9,8.0,37.336,136.588,2007,3,0,989451,1569474,13446.9,385526,3303.1,5239.400000000001
7.1,3,6,779,426,0.0,25.3,34.0,-20.617,169.357,2007,3,0,854982,1563453,14249.699999999999,331854,3024.6,5530.9
6.7,0,6,691,253,0.0,40.3,12.0,-1.034,126.976,2007,2,0,507771,1386837,13446.9,174823,1695.1000000000001,4629.7
7.5,6,5,874,570,0.0,21.6,22.0,1.065,126.282,2007,1,0,1143990,1754118,15052.5,498180,4275.0,6555.0
8.1,4,5,1034,606,0.0,14.0,10.0,46.243,154.524,2007,1,0,1216242,2075238,16256.699999999999,626604,4908.599999999999,8375.4
6.9,6,7,798,466,0.0,31.6,10.0,21.974,120.493,2006,12,0,934796,1600788,13841.400000000001,371868,3215.4,5506.200000000001
7.1,8,7,1023,744,0.0,29.1,10.0,21.799,120.547,2006,12,0,1492464,2052138,14242.599999999999,761112,5282.4,7263.299999999999
8.3,4,7,1064,576,0.0,20.9,10.0,46.592,153.266,2006,11,0,1155456,2134384,16649.800000000003,612864,4780.8,8831.2
6.6,0,6,670,352,0.0,18.6,11.0,-6.482,151.195,2006,11,0,706112,1344020,13239.599999999999,235840,2323.2,4422.0
6.7,5,6,732,444,0.0,53.4,23.0,-13.457,-76.677,2006,10,0,890664,1468392,13440.2,325008,2974.8,4904.400000000001
6.7,5,6,692,533,0.0,15.6,32.0,-5.881,150.982,2006,10,0,1069198,1388152,13440.2,368836,3571.1,4636.400000000001
6.7,8,9,1481,43,0.0,124.0,38.182,19.877,-155.935,2006,10,0,86258,2970886,13440.2,63683,288.1,9922.7
6.9,3,3,737,702,0.0,20.9,28.0,-16.592,-172.033,2006,9,0,1408212,1478422,13841.400000000001,517374,4843.8,5085.3
6.8,0,6,711,459,0.0,28.4,38.0,-6.759,155.512,2006,9,0,920754,1426266,13640.8,326349,3121.2,4834.8
6.5,0,6,650,700,0.0,47.4,43.0,51.148,157.522,2006,8,0,1404200,1303900,13039.0,455000,4550.0,4225.0
6.8,5,5,713,551,0.0,26.2,150.0,-15.798,167.789,2006,8,0,1105306,1430278,13640.8,392863,3746.7999999999997,4848.4
7.7,7,5,947,357,0.0,36.8,20.0,-9.284,107.419,2006,7,0,716142,1899682,15446.2,338079,2748.9,7291.900000000001
6.5,0,6,650,477,0.0,20.3,34.0,-5.724,151.133,2006,5,0,956862,1303900,13039.0,310050,3100.5,4225.0
6.6,0,7,670,548,0.0,28.0,19.0,60.772,165.743,2006,5,0,1099288,1344020,13239.599999999999,367160,3616.7999999999997,4422.0
6.8,4,5,719,701,0.0,16.3,12.0,0.093,97.05,2006,5,0,1406206,1442314,13640.8,504019,4766.8,4889.2
8.0,7,7,1013,626,0.0,20.7,55.0,-20.187,-174.123,2006,5,0,1255756,2032078,16048.0,634138,5008.0,8104.0
8.0,8,9,1026,0,0.0,0.0,60.5,-19.99,-173.907,2006,5,0,0,2058156,16048.0,0,0.0,8208.0
6.5,7,7,653,282,0.0,46.3,12.0,-27.211,-71.056,2006,4,0,565692,1309918,13039.0,184146,1833.0,4244.5
6.7,6,7,696,277,0.0,25.6,12.0,-27.017,-71.022,2006,4,0,555662,1396176,13440.2,192792,1855.9,4663.2
6.6,0,8,670,645,0.0,28.4,11.0,60.491,167.516,2006,4,0,1293870,1344020,13239.599999999999,432150,4257.0,4422.0
7.6,0,8,889,579,0.0,18.5,22.0,60.949,167.089,2006,4,0,1161474,1783334,15245.599999999999,514731,4400.4,6756.4
6.5,3,5,654,247,0.0,25.5,14.0,-16.527,176.989,2006,4,0,495482,1311924,13039.0,161538,1605.5,4251.0
6.7,0,7,691,306,0.0,21.3,30.1,-3.595,127.214,2006,3,0,613836,1386146,13440.2,211446,2050.2000000000003,4629.7
7.0,5,9,891,412,0.0,23.2,11.0,-21.324,33.583,2006,2,0,826472,1787346,14042.0,367092,2884.0,6237.0
6.7,7,6,934,769,0.0,19.7,66.0,36.311,23.212,2006,1,0,1542614,1873604,13440.2,718246,5152.3,6257.8
6.6,7,6,703,323,0.0,48.2,14.0,28.164,-112.117,2006,1,0,647938,1410218,13239.599999999999,227069,2131.7999999999997,4639.8
6.5,6,5,721,529,0.0,20.5,224.6,36.357,71.093,2005,12,0,1060645,1445605,13032.5,381409,3438.5,4686.5
6.8,5,7,744,561,0.0,20.0,22.0,-6.224,29.83,2005,12,0,1124805,1491720,13634.0,417384,3814.7999999999997,5059.2
6.5,4,5,683,464,0.0,48.8,29.0,38.089,142.122,2005,12,0,930320,1369415,13032.5,316912,3016.0,4439.5
6.5,3,6,651,358,0.0,20.7,21.0,2.164,96.786,2005,11,0,717790,1305255,13032.5,233058,2327.0,4231.5
6.8,0,6,711,509,0.0,30.1,147.0,-22.361,-67.895,2005,11,0,1020545,1425555,13634.0,361899,3461.2,4834.8
7.6,9,9,1267,724,0.0,21.1,26.0,34.539,73.588,2005,10,0,1451620,2540335,15238.0,917308,5502.4,9629.199999999999
6.6,0,6,670,402,0.0,17.7,25.0,-5.437,151.84,2005,9,0,806010,1343350,13233.0,269340,2653.2,4422.0
7.5,8,7,1018,696,0.0,26.2,115.0,-5.678,-76.398,2005,9,0,1395480,2041090,15037.5,708528,5220.0,7635.0
7.6,5,7,891,502,0.0,20.0,90.0,-4.539,153.474,2005,9,0,1006510,1786455,15238.0,447282,3815.2,6771.599999999999
7.2,7,7,1104,698,0.0,19.6,36.0,38.276,142.039,2005,8,0,1399490,2213520,14436.0,770592,5025.6,7948.8
7.2,4,5,808,636,0.0,26.4,16.0,7.92,92.19,2005,7,0,1275180,1620040,14436.0,513888,4579.2,5817.6
6.7,3,6,693,398,0.0,22.3,21.0,1.819,97.082,2005,7,0,797990,1389465,13433.5,275814,2666.6,4643.1
6.6,6,5,719,446,0.0,21.1,27.0,11.245,-86.172,2005,7,0,894230,1441595,13233.0,320674,2943.6,4745.4
7.2,5,4,1318,420,0.0,31.4,16.0,41.292,-125.953,2005,6,0,842100,2642590,14436.0,553560,3024.0,9489.6
7.8,8,7,1020,714,0.0,16.1,115.6,-19.987,-69.197,2005,6,0,1431570,2045100,15639.0,728280,5569.2,7956.0
6.9,5,7,740,635,0.0,26.0,30.0,1.989,97.041,2005,5,0,1273175,1483700,13834.5,469900,4381.5,5106.0
6.7,6,5,731,695,0.0,20.9,34.0,0.587,98.459,2005,5,0,1393475,1465655,13433.5,508045,4656.5,4897.7
6.5,3,6,657,478,0.0,21.2,30.0,-1.714,99.779,2005,4,0,958390,1317285,13032.5,314046,3107.0,4270.5
6.7,5,6,717,656,0.0,21.2,19.0,-1.644,99.607,2005,4,0,1315280,1437585,13433.5,470352,4395.2,4803.900000000001
8.6,0,8,1138,510,0.0,22.1,30.0,2.085,97.108,2005,3,0,1022550,2281690,17243.0,580380,4386.0,9786.8
6.6,8,7,805,401,0.0,22.9,10.0,33.807,130.131,2005,3,0,804005,1614025,13233.0,322805,2646.6,5313.0
7.1,0,5,776,569,0.0,18.1,201.7,-6.527,129.933,2005,3,0,1140845,1555880,14235.5,441544,4039.8999999999996,5509.599999999999
6.8,0,6,711,444,0.0,33.8,36.0,2.908,95.592,2005,2,0,890220,1425555,13634.0,315684,3019.2,4834.8
6.5,0,7,650,371,0.0,31.8,10.0,-5.562,122.129,2005,2,0,743855,1303250,13032.5,241150,2411.5,4225.0
6.5,3,5,652,286,0.0,47.3,39.7,4.756,126.421,2005,2,0,573430,1307260,13032.5,186472,1859.0,4238.0
6.7,0,4,691,457,0.0,30.2,206.3,-14.252,167.259,2005,2,0,916285,1385455,13433.5,315787,3061.9,4629.7
7.1,7,3,782,640,0.0,26.4,525.0,5.293,123.337,2005,2,0,1283200,1567910,14235.5,500480,4544.0,5552.2
6.6,6,4,676,225,0.0,78.5,27.8,34.064,141.491,2005,1,0,451125,1355380,13233.0,152100,1485.0,4461.599999999999
6.6,0,5,670,353,0.0,31.9,16.1,8.879,92.375,2004,12,0,707412,1342680,13226.4,236510,2329.7999999999997,4422.0
